"6     894N918DE  ALB           14     133     132     870"
"7     342N924DL  ALB            9     132     135     870"
"7     768N931DL  ALB           20     137     143     870"
"7     844N926DL  ALB           27     134     148     870"
"7     894N907DE  ALB           35     133     148     870"
"8     342N924DL  ALB           10     132     126     870"
"8     768N959DL  ALB           14     137     130     870"
"8     844N923DL  ALB           24     134     143     870"
"8     894N902DE  ALB           16     133     130     870"
"9     342N903DL  ALB           13     132     125     870"
"9     768N965DL  ALB           21     137     129     870"
"9     844N997DL  ALB           22     134     135     870"
"9     894N953DL  ALB           11     133     122     870"
"10     342N919DL  ALB           22     132     141     870"
"10     768N913DE  ALB           50     137     173     870"
"10     844N916DE  ALB           10     134     125     870"
"10     894N987DL  ALB           14     133     137     870"
"11     342N982DL  ALB           10     132     129     870"
"11     768N910DE  ALB           28     137     152     870"
"11     844N989DL  ALB           12     134     129     870"
"11     894N936DL  ALB           23     133     143     870"
"12     342N949DL  ALB           13     132     131     870"
"12     768N971DL  ALB           42     137     154     870"
"12     844N943DL  ALB           13     134     132     870"
"12     894N922DL  ALB           21     133     141     870"
"13     342N957DL  ALB           15     132     129     870"
"13     768N942DL  ALB           13     137     128     870"
"13     844N919DE  ALB           18     134     132     870"
"13     894N961DL  ALB           21     133     129     870"
"14     342N966DL  ALB           17     132     131     870"
"14     768N910DE  ALB           11     137     123     870"
"14     844N903DL  ALB           14     134     133     870"
"14     894N918DE  ALB           19     133     127     870"
"15     342N911DE  ALB           18     132     128     870"
"15     768N967DL  ALB           15     137     131     870"
"15     844N994DL  ALB           14     134     122     870"
"15     894N950DL  ALB           10     133     122     870"
"16     342N954DL  ALB           10     132     121     870"
"16     768N920DE  ALB           21     137     132     870"
"16     844N947DL  ALB           30     134     137     870"
"16     894N980DL  ALB           13     133     124     870"
"17     342N952DL  ALB           14     132     130     870"
"17     768N946DL  ALB           21     137     140     870"
"17     844N984DL  ALB           13     134     135     870"
"17     894N975DL  ALB           26     133     136     870"
"18     342N912DE  ALB           13     132     131     870"
"18     768N940DL  ALB           15     137     129     870"
"18     844N965DL  ALB           15     134     133     870"
"18     894N920DL  ALB           26     133     140     870"
"19     342N927DA  ALB           17     132     133     870"
"19     768N989DL  ALB           24     137     142     870"
"19     844N968DL  ALB           37     134     160     870"
"19     894N995DL  ALB           20     133     130     870"
"20     342N973DL  ALB           16     132     134     870"
"20     768N930DL  ALB           31     137     148     870"
"20     844N997DL  ALB           15     134     134     870"
"20     894N935DL  ALB           14     133     132     870"
"21     342N983DL  ALB           18     132     139     870"
"21     768N909DL  ALB           17     137     140     870"
"21     844N904DL  ALB           17     134     136     870"
"21     894N931DL  ALB           21     133     143     870"
"22     342N958DL  ALB           14     132     143     870"
"22     768N920DL  ALB           19     137     154     870"
"22     844N918DL  ALB           29     134     158     870"
"22     894N932DL  ALB           31     133     164     870"
"23     342N984DL  ALB            8     132     129     870"
"23     768N910DE  ALB           11     137     129     870"
"23     844N908DL  ALB           12     134     138     870"
"23     894N972DL  ALB           12     133     127     870"
"24     342N995DL  ALB           11     132     135     870"
"24     768N987DL  ALB           17     137     143     870"
"24     844N949DL  ALB           21     134     134     870"
"24     894N961DL  ALB           27     133     148     870"
"25     342N914DL  ALB           18     132     139     870"
"25     768N915DE  ALB           23     137     145     870"
"25     844N917DE  ALB           21     134     145     870"
"25     894N949DL  ALB           24     133     147     870"
"26     342N947DL  ALB           19     132     140     870"
"26     768N907DE  ALB           22     137     145     870"
"26     844N912DE  ALB           15     134     139     870"
"26     894N913DE  ALB           21     133     144     870"
"27     342N970DL  ALB           18     132     141     870"
"27     768N992DL  ALB           29     137     150     870"
"27     844N986DL  ALB           13     134     136     870"
"27     894N927DA  ALB           22     133     140     870"
"28     342N925DL  ALB           16     132     142     870"
"28     768N987DL  ALB           42     137     169     870"
"28     844N906DL  ALB           25     134     153     870"
"28     894N999DN  ALB           18     133     128     870"
"29     342N944DL  ALB           28     132     149     870"
"29     768N993DL  ALB           27     137     151     870"
"29     844N949DL  ALB           60     134     183     870"
"29     894N971DL  ALB           14     133     138     870"
"30     342N920DE  ALB           17     132     133     870"
"30     768N951DL  ALB           25     137     141     870"
"30     844N914DE  ALB           28     134     147     870"
"30     894N926DL  ALB           16     133     131     870"
"31     342N904DL  ALB           21     132     133     870"
"31     768N912DL  ALB           31     137     146     870"
"31     844N929DL  ALB           17     134     132     870"
"31     894N916DL  ALB           33     133     145     870"
"1     681N242WA  AUS           29     147     161     800"
"1     976N971DL  AUS           17     140     139     800"
"1    1005N309DL  AUS           20     145     142     800"
"1    1221N935DL  AUS           15     140     133     800"
"1    1819N918DL  AUS           16     140     139     800"
"2     681N332DL  AUS           29     147     150     800"
"2    1005N302DL  AUS           11     145     142     800"
"2    1221N973DL  AUS           20     140     139     800"
"2    1819N990DL  AUS           13     140     135     800"
"3     681N306DL  AUS           23     147     146     800"
"3     976N915DL  AUS           31     140     155     800"
"3    1005N237WA  AUS           18     145     143     800"
"3    1221N911DE  AUS           20     140     136     800"
"3    1819N978DL  AUS           18     140     140     800"
"4     681N308DL  AUS           19     147     139     800"
"4     976N909DE  AUS           24     140     142     800"
"4    1005N306DL  AUS           19     145     137     800"
"4    1221N981DL  AUS           12     140     137     800"
"4    1819N946DL  AUS           14     140     132     800"
"5     681N378DL  AUS           20     147     139     800"
"5     976N920DE  AUS           27     140     140     800"
"5    1005N308DL  AUS           14     145     137     800"
"5    1221N925DL  AUS           11     140     127     800"
"5    1819N922DL  AUS           21     140     135     800"
"6     681N334DL  AUS           16     147     137     800"
"6     976N919DL  AUS           28     140     145     800"
"6    1005N312DL  AUS           16     145     141     800"
"6    1221N986DL  AUS            9     140     126     800"
"6    1819N969DL  AUS           14     140     133     800"
"7     681N237WA  AUS           19     147     142     800"
"7     976N952DL  AUS           25     140     145     800"
"7    1005N334DL  AUS           15     145     137     800"
"7    1221N920DL  AUS           20     140     139     800"
"7    1819N907DL  AUS           19     140     136     800"
"8     681N379DL  AUS           16     147     141     800"
"8     976N990DL  AUS           37     140     155     800"
"8    1005N237WA  AUS           20     145     144     800"
"8    1221N996DL  AUS           14     140     132     800"
"8    1819N902DL  AUS           29     140     147     800"
"9     681N305DL  AUS           21     147     143     800"
"9    1005N379DL  AUS           13     145     135     800"
"9    1221N914DL  AUS           15     140     132     800"
"9    1819N907DE  AUS           28     140     152     800"
"10     681N313DL  AUS           21     147     143     800"
"10     976N920DE  AUS           15     140     132     800"
"10    1005N305DL  AUS            9     145     130     800"
"10    1221N966DL  AUS           13     140     134     800"
"10    1819N941DL  AUS           21     140     142     800"
"11     681N381DL  AUS           19     147     143     800"
"11     976N987DL  AUS           20     140     144     800"
"11    1005N313DL  AUS           15     145     141     800"
"11    1221N978DL  AUS           16     140     142     800"
"11    1819N965DL  AUS           11     140     137     800"
"12     681N238WA  AUS           19     147     149     800"
"12     976N961DL  AUS           29     140     160     800"
"12    1005N332DL  AUS           17     145     143     800"
"12    1221N916DE  AUS           37     140     161     800"
"12    1819N933DL  AUS           20     140     154     800"
"13     681N316DL  AUS           18     147     148     800"
"13     976N901DE  AUS           13     140     137     800"
"13    1005N238WA  AUS           19     145     147     800"
"13    1221N967DL  AUS           15     140     143     800"
"13    1819N918DE  AUS           22     140     152     800"
"14     681N311DL  AUS           23     147     159     800"
"14     976N905DL  AUS           24     140     152     800"
"14    1005N316DL  AUS           18     145     155     800"
"14    1221N908DL  AUS           15     140     153     800"
"14    1819N911DE  AUS           16     140     146     800"
"15     681N244WA  AUS           23     147     150     800"
"15     976N988DL  AUS           21     140     147     800"
"15    1005N315DL  AUS           25     145     150     800"
"15    1221N946DL  AUS           17     140     146     800"
"15    1819N989DL  AUS           25     140     151     800"
"16     681N306DL  AUS           22     147     147     800"
"16    1005N313DL  AUS           12     145     141     800"
"16    1221N909DL  AUS           13     140     135     800"
"16    1819N986DL  AUS           15     140     137     800"
"17     681N245WA  AUS           22     147     150     800"
"17     976N932DL  AUS           23     140     147     800"
"17    1005N306DL  AUS           17     145     139     800"
"17    1221N942DL  AUS           13     140     132     800"
"17    1819N925DL  AUS           39     140     165     800"
"18     681N307DL  AUS           28     147     152     800"
"18     976N983DL  AUS           27     140     152     800"
"18    1005N245WA  AUS           28     145     152     800"
"18    1221N996DL  AUS           21     140     142     800"
"18    1819N918DL  AUS           15     140     141     800"
"19     681N374DL  AUS            0     147       0     800"
"19     976N937DL  AUS           18     140     149     800"
"19    1005N376DL  AUS           52     145     184     800"
"19    1221N976DL  AUS           14     140     148     800"
"19    1819N979DL  AUS           18     140     156     800"
"20     681N379DL  AUS           35     147     157     800"
"20     976N974DL  AUS           24     140     142     800"
"20    1005N237WA  AUS           19     145     142     800"
"20    1221N933DL  AUS           18     140     135     800"
"20    1819N955DL  AUS           24     140     141     800"
"21     681N324DL  AUS           30     147     150     800"
"21     976N901DE  AUS           14     140     135     800"
"21    1005N245WA  AUS            8     145     129     800"
"21    1221N995DL  AUS           16     140     136     800"
"21    1819N924DL  AUS           20     140     137     800"
"22     681N327DL  AUS           24     147     145     800"
"22     976N951DL  AUS           25     140     150     800"
"22    1005N324DL  AUS           17     145     138     800"
"22    1221N972DL  AUS           10     140     128     800"
"22    1819N989DL  AUS           17     140     138     800"
"23     681N243WA  AUS           13     147     143     800"
"23    1005N382DL  AUS           10     145     143     800"
"23    1221N923DL  AUS           14     140     142     800"
"23    1819N902DE  AUS           24     140     154     800"
"24     681N318DL  AUS           17     147     139     800"
"24     976N954DL  AUS           29     140     152     800"
"24    1005N378DL  AUS           29     145     152     800"
"24    1221N944DL  AUS           20     140     146     800"
"24    1819N981DL  AUS           16     140     140     800"
"25     681N304DL  AUS           22     147     139     800"
"25     976N909DE  AUS           41     140     161     800"
"25    1005N330DL  AUS           26     145     145     800"
"25    1221N959DL  AUS           14     140     134     800"
"25    1819N961DL  AUS           22     140     143     800"
"26     681N332DL  AUS           28     147     150     800"
"26     976N906DL  AUS           30     140     151     800"
"26    1005N304DL  AUS           13     145     142     800"
"26    1221N972DL  AUS            8     140     132     800"
"26    1819N982DL  AUS           18     140     136     800"
"27     681N311DL  AUS           20     147     141     800"
"27     976N900DE  AUS           15     140     135     800"
"27    1005N303DL  AUS           29     145     149     800"
"27    1221N940DL  AUS           12     140     128     800"
"27    1819N957DL  AUS           23     140     143     800"
"28     681N307DL  AUS           17     147     146     800"
"28     976N968DL  AUS           20     140     133     800"
"28    1005N374DL  AUS           28     145     143     800"
"28    1221N988DL  AUS           17     140     146     800"
"28    1819N913DE  AUS           19     140     139     800"
"29     681N308DL  AUS           35     147     159     800"
"29     976N963DL  AUS           24     140     145     800"
"29    1005N322DL  AUS           19     145     142     800"
"29    1221N907DL  AUS           13     140     133     800"
"29    1819N970DL  AUS           21     140     139     800"
"30     681N314DA  AUS           21     147     142     800"
"30    1005N321DL  AUS           14     145     133     800"
"30    1221N929DL  AUS           16     140     136     800"
"30    1819N971DL  AUS           25     140     150     800"
"31     681N329DL  AUS           23     147     152     800"
"31     976N984DL  AUS           38     140     167     800"
"31    1005N245WA  AUS           17     145     139     800"
"31    1221N939DL  AUS           12     140     133     800"
"31    1819N974DL  AUS           22     140     144     800"
"1     286N934DL  BDL           19     135     144     859"
"1     300N677DL  BDL           12     138     130     859"
"1     422N139DL  BDL           22     137     141     859"
"1     776N907DE  BDL           24     141     141     859"
"1     869N909DE  BDL            9     138     129     859"
"1     942N624DL  BDL           25     135     142     859"
"1    1110N940DL  BDL           16     140     134     859"
"2     286N942DL  BDL           15     135     134     859"
"2     422N630DL  BDL           13     137     132     859"
"2     776N924DL  BDL           17     141     134     859"
"2     869N916DE  BDL           10     138     127     859"
"2     942N653DL  BDL           20     135     141     859"
"2    1110N906DL  BDL           20     140     139     859"
"2    1408N112DL  BDL           18     138     138     859"
"3     286N918DL  BDL           15     135     135     859"
"3     422N662DN  BDL           33     137     149     859"
"3     776N906DE  BDL           27     141     143     859"
"3     869N963DL  BDL           11     138     131     859"
"3     942N608DA  BDL           17     135     131     859"
"3    1110N985DL  BDL           16     140     135     859"
"3    1408N660DL  BDL           17     138     135     859"
"4     286N925DL  BDL           16     135     133     859"
"4     300N115DA  BDL           22     138     140     859"
"4     422N657DL  BDL           23     137     143     859"
"4     776N982DL  BDL           13     141     135     859"
"4     869N931DL  BDL           12     138     132     859"
"4     942N661DN  BDL           12     135     130     859"
"4    1110N936DL  BDL           19     140     143     859"
"5     286N912DE  BDL           14     135     128     859"
"5     300N104DA  BDL           17     138     130     859"
"5     422N610DL  BDL           21     137     138     859"
"5     776N914DL  BDL           17     141     139     859"
"5     869N917DE  BDL           10     138     126     859"
"5     942N673DL  BDL           18     135     134     859"
"5    1110N933DL  BDL           18     140     135     859"
"6     286N900DE  BDL           14     135     136     859"
"6     300N618DL  BDL           13     138     131     859"
"6     422N630DL  BDL           14     137     138     859"
"6     776N980DL  BDL           20     141     143     859"
"6     869N906DE  BDL           10     138     131     859"
"6     942N666DN  BDL           13     135     129     859"
"6    1110N3768   BDL           16     140     136     859"
"7     286N974DL  BDL           18     135     153     859"
"7     300N109DL  BDL           16     138     138     859"
"7     422N615DL  BDL           13     137     138     859"
"7     776N914DL  BDL           19     141     143     859"
"7     869N966DL  BDL           17     138     145     859"
"7     942N625DL  BDL           20     135     142     859"
"7    1110N935DL  BDL           11     140     134     859"
"8     286N917DE  BDL           14     135     135     859"
"8     300N112DL  BDL           20     138     143     859"
"8     422N613DL  BDL           14     137     139     859"
"8     776N901DE  BDL           21     141     148     859"
"8     869N938DL  BDL           12     138     133     859"
"8     942N663DN  BDL           13     135     130     859"
"8    1110N953DL  BDL           18     140     143     859"
"9     286N922DL  BDL           14     135     130     859"
"9     422N615DL  BDL           11     137     122     859"
"9     776N920DL  BDL           19     141     138     859"
"9     869N980DL  BDL            7     138     125     859"
"9     942N611DL  BDL            9     135     122     859"
"9    1110N987DL  BDL           14     140     132     859"
"9    1408N106DA  BDL           10     138     121     859"
"10     286N915DE  BDL           13     135     129     859"
"10     422N676DL  BDL           12     137     125     859"
"10     776N944DL  BDL           17     141     139     859"
"10     869N946DL  BDL           12     138     130     859"
"10     942N610DL  BDL           12     135     122     859"
